Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.014s,PASSED
Statement - shippingLabel = FREE_EMS_SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.010s,PASSED
Statement - shippingPrice = 0,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.007s,PASSED
"Statement - shippingType = ""freeEMS""",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.007s,PASSED
"Statement - paymentMethod = ""Amazon Pay""",Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:16,0.009s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 68.0.3440.106,,2018-09-04 14:17:16,2018-09-04 14:17:28,12.336s,PASSED
beautytap.ShopAction.globalSearch,Chrome 68.0.3440.106,,2018-09-04 14:17:28,2018-09-04 14:17:35,7.114s,PASSED
beautytap.ShopAction.VerifyProductOnSearchResult,Chrome 68.0.3440.106,VP1: Verify product display in search result panel with regular price,2018-09-04 14:17:35,2018-09-04 14:17:36,0.159s,PASSED
beautytap.ShopAction.selectProductOnSearchResult,Chrome 68.0.3440.106,,2018-09-04 14:17:36,2018-09-04 14:17:42,6.838s,PASSED
beautytap.ShopAction.selectProductVariation,Chrome 68.0.3440.106,,2018-09-04 14:17:42,2018-09-04 14:17:44,1.409s,PASSED
beautytap.ShopAction.VerifyProductDetails,Chrome 68.0.3440.106,VP2: Verify product detail page display with regular price,2018-09-04 14:17:44,2018-09-04 14:17:45,0.856s,PASSED
Statement - currentNumberItemInCart = CustomKeywords.beautytap.ShopAction.getNumberItemInCart(),Chrome 68.0.3440.106,,2018-09-04 14:17:45,2018-09-04 14:18:16,31.348s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 68.0.3440.106,,2018-09-04 14:18:16,2018-09-04 14:18:32,15.777s,PASSED
beautytap.ShopAction.VerifyNumberItemInCart,Chrome 68.0.3440.106,VP3:Verify product is added to card: cart number increase and message display “PRODUCT_NAME” has been added to your cart.,2018-09-04 14:18:32,2018-09-04 14:18:32,0.076s,FAILED
beautytap.ShopAction.VerifyProductIsAddedToCart,Chrome 68.0.3440.106,,2018-09-04 14:18:32,2018-09-04 14:18:32,0.030s,PASSED
beautytap.ShopAction.goToCart,Chrome 68.0.3440.106,,2018-09-04 14:18:32,2018-09-04 14:18:37,4.951s,PASSED
beautytap.ShopAction.VerifyProductInCart,Chrome 68.0.3440.106,VP4:Verify product is added to cart with correct price and quantity,2018-09-04 14:18:37,2018-09-04 14:18:37,0.218s,PASSED
beautytap.ShopAction.processToCheckout,Chrome 68.0.3440.106,,2018-09-04 14:18:37,2018-09-04 14:18:41,3.675s,PASSED
beautytap.ShopAction.loginAmazonPay,Chrome 68.0.3440.106,Login amazonPay,2018-09-04 14:18:41,2018-09-04 14:18:41,0.652s,FAILED
,,,,,,
Test Cases/Shop/TC05_Browse_SimpleProduct_NotSale_PayPal_GreaterThan60LessThan200,Chrome 68.0.3440.106,,2018-09-04 14:18:43,2018-09-04 14:22:13,3m - 29.518s,FAILED
Statement - productName = SIMPLE_PRODUCT,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.028s,PASSED
Statement - price = SIMPLE_PRODUCT_PRICE,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.011s,PASSED
"Statement - r_string = new java.lang.Math().random().toString().substring(2, 8)",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.008s,PASSED
"Statement - email = ""auto"" + r_string + ""@mailinator.com""",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.008s,PASSED
"Statement - orderNote = ""auto"" + r_string + ""Order""",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.008s,PASSED
Statement - currentNumberItemInCart = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
Statement - quantity = 3,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.010s,PASSED
"Statement - subtotal = CustomKeywords.beautytap.ShopAction.calculateTotal(quantity, price)",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.022s,PASSED
Statement - total = subtotal,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
"Statement - total = CustomKeywords.beautytap.ShopAction.calculateTotal(1, total)",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
"Statement - products = new org.json.JSONArray((((((([{""productname"":"" + productName) + "",""variation"":"""",""quantity"":"") + quantity) + "",""price"":"") + price) + ""}]))",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
"Statement - billingInformation = new org.json.JSONObject((({""firstname"":""Test"",""lastname"":""Automation"",""country"":""United States (US)"",""address"":""123 Testing"",""city"":""New York"",""state"":""New York"",""zip"":""90012"",""email"":"" + email) + ""}))",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
Statement - shippingLabel = FREE_SHIPPING_LABEL,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.014s,PASSED
Statement - shippingPrice = 0,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
"Statement - shippingType = ""free""",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.015s,PASSED
"Statement - paymentMethod = ""PayPal""",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.009s,PASSED
"Statement - category = ""What's New""",Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:18:44,0.007s,PASSED
beautytap.GeneralAction.openBeautytap,Chrome 68.0.3440.106,,2018-09-04 14:18:44,2018-09-04 14:19:07,22.819s,PASSED
beautytap.ShopAction.selectCategory,Chrome 68.0.3440.106,,2018-09-04 14:19:07,2018-09-04 14:19:14,7.114s,PASSED
beautytap.ShopAction.findProductOnProductList,Chrome 68.0.3440.106,,2018-09-04 14:19:14,2018-09-04 14:19:28,13.870s,PASSED
beautytap.ShopAction.VerifyProductOnProductList,Chrome 68.0.3440.106,VP1: Verify product display on product list,2018-09-04 14:19:28,2018-09-04 14:19:28,0.165s,PASSED
beautytap.ShopAction.selectProductOnProductList,Chrome 68.0.3440.106,,2018-09-04 14:19:28,2018-09-04 14:19:34,6.084s,PASSED
beautytap.ShopAction.VerifyProductDetails,Chrome 68.0.3440.106,VP2: Verify product detail page display with regular price,2018-09-04 14:19:34,2018-09-04 14:19:34,0.212s,PASSED
Statement - currentNumberItemInCart = CustomKeywords.beautytap.ShopAction.getNumberItemInCart(),Chrome 68.0.3440.106,,2018-09-04 14:19:34,2018-09-04 14:20:06,31.360s,PASSED
beautytap.ShopAction.addProductToCart,Chrome 68.0.3440.106,,2018-09-04 14:20:06,2018-09-04 14:20:21,15.583s,PASSED
beautytap.ShopAction.VerifyNumberItemInCart,Chrome 68.0.3440.106,VP3:Verify product is added to card: cart number increase and message display “PRODUCT_NAME” has been added to your cart.,2018-09-04 14:20:21,2018-09-04 14:20:21,0.134s,FAILED
beautytap.ShopAction.VerifyProductIsAddedToCart,Chrome 68.0.3440.106,,2018-09-04 14:20:21,2018-09-04 14:20:21,0.056s,PASSED
beautytap.ShopAction.goToCart,Chrome 68.0.3440.106,,2018-09-04 14:20:21,2018-09-04 14:20:26,4.636s,PASSED
beautytap.ShopAction.VerifyProductInCart,Chrome 68.0.3440.106,VP4:Verify product is added to cart with correct price and quantity,2018-09-04 14:20:26,2018-09-04 14:20:26,0.189s,PASSED
beautytap.ShopAction.processToCheckout,Chrome 68.0.3440.106,,2018-09-04 14:20:26,2018-09-04 14:20:29,3.325s,PASSED
beautytap.ShopAction.fillCustomerInformation,Chrome 68.0.3440.106,,2018-09-04 14:20:29,2018-09-04 14:20:43,13.949s,PASSED
beautytap.ShopAction.VerifyOrderDetailsOnCheckout,Chrome 68.0.3440.106,VP5: Verify order details on checkout page,2018-09-04 14:20:43,2018-09-04 14:20:44,0.209s,PASSED
beautytap.ShopAction.checkoutViaPaypal,Chrome 68.0.3440.106,Checkout by credit card,2018-09-04 14:20:44,2018-09-04 14:21:38,54.548s,PASSED
beautytap.ShopAction.VerifyOrderReceivedDetails,Chrome 68.0.3440.106,VP6: Verify order details on order received Page,2018-09-04 14:21:38,2018-09-04 14:22:10,31.596s,PASSED
